Trade_Date,ISIN,PX_Bid,PX_Mid,PX_Ask
2020-01-30,US71567RAH93,107.769,107.969,108.169
2020-01-30,US71567RAJ59,104.125,104.3125,104.5
2020-01-30,US71567RAK23,110.25,110.35,110.45
2020-01-30,US71567RAM88,111.463,111.747749,112.0325
2020-01-30,US71568QAB32,113.5,113.8435,114.187
2020-01-30,US71568QAC15,106.375,106.659752,106.9445
2020-01-30,US71568QAE70,115.813,116.0005,116.188
2020-01-30,US71568QAF46,126.563,126.9065,127.25
2020-01-30,US71654QAZ54,102.15,102.4935,102.837
2020-01-30,US71654QBE17,94.02,94.3635,94.707
2020-01-30,US71654QBG64,101.707,101.9985,102.29
2020-01-30,US71654QBH48,106.25,106.5415,106.833
2020-01-30,US71654QBR20,99.901,100.2445,100.588
2020-01-30,US71654QBW15,102.296,102.58075,102.8655
2020-01-30,US71654QBX97,93.509,93.8525,94.196
2020-01-30,US71654QCB68,112.46,112.744751,113.0295
2020-01-30,US71654QCC42,101.4,101.7435,102.087
2020-01-30,US71654QCD25,105.825,106.1165,106.408
2020-01-30,US71654QCG55,108.325,108.609749,108.8945
2020-01-30,US71654QCK67,100.7805,101.065247,101.35
2020-01-30,US71654QCL41,99.35,99.6935,100.037
2020-01-30,US71654QCP54,106.501,106.785751,107.0705
2020-01-30,US71654QCZ37,101.626,102.126,102.626
2020-01-30,US71654QDA76,101.626,102.001,102.376
2020-01-30,US718286AP29,141.654083,141.871582,142.089081
2020-01-30,US718286AY36,162.953552,163.492554,164.031555
2020-01-30,US718286BB24,150.421585,150.938583,151.455582
2020-01-30,US718286BD89,138.270676,138.818176,139.365677
2020-01-30,US718286BG11,144.7352,145.365189,145.9952
2020-01-30,US718286BN61,119.373848,119.774849,120.17585
2020-01-30,US718286BW60,131.072357,131.447357,131.822357
2020-01-30,US718286BY27,108.543236,108.849236,109.155235
2020-01-30,US718286BZ91,118.971092,119.346092,119.721092
2020-01-30,US718286CA32,117.095078,117.470078,117.845078
2020-01-30,US718286CB15,117.41227,117.851776,118.291275
2020-01-30,US718286CC97,106.73941,106.98941,107.23941
2020-01-30,US718286CG02,113.194908,113.545906,113.896904
2020-01-30,US731011AT95,103.768,103.884,104
2020-01-30,US731011AU68,106.88,107.056,107.232
2020-01-30,US760942AS16,152.751,153.0945,153.438
2020-01-30,US760942AZ58,108.75,109.0415,109.333
2020-01-30,US760942BA98,125.126,125.4695,125.813
2020-01-30,US760942BB71,112.126,112.410751,112.6955
2020-01-30,US760942BD38,123.126,123.4695,123.813
2020-01-30,US77586TAA43,109.0948,109.2562,109.4176
2020-01-30,US77586TAC09,107.25,107.45,107.65
2020-01-30,US77586TAD81,110.125,110.3282,110.5314
2020-01-30,US77586TAE64,131.634,132.0764,132.5188
2020-01-30,US80413TAP49,100.33,100.4827,100.6354
2020-01-30,US80413TAQ22,100.5,100.75,101
2020-01-30,US80413TAR05,101.25,101.5,101.75
2020-01-30,US836205AL88,107.008,107.171,107.334
2020-01-30,US836205AQ75,104.71,104.9026,105.0952
2020-01-30,US836205AR58,110.241,110.4455,110.65
2020-01-30,US836205AS32,96.6424,96.9332,97.224
2020-01-30,US836205AT15,104.75,104.9816,105.2132
2020-01-30,US836205AU87,98.646,98.8486,99.0512
2020-01-30,US836205AV60,93.5,93.82,94.14
2020-01-30,US836205AW44,104.46,104.6936,104.9272
2020-01-30,US836205AX27,98.496,98.7651,99.0342
2020-01-30,US836205AY00,108.806,109.0558,109.3056
2020-01-30,US836205BA15,100.938,101.094,101.25
2020-01-30,US836205BB97,98.262,98.506,98.75
2020-01-30,US857524AB80,106.7536,106.9432,107.1328
2020-01-30,US857524AC63,108.124,108.307,108.49
2020-01-30,US900123AL40,148.345,148.6705,148.996
2020-01-30,US900123AT75,121.578,121.889,122.2
2020-01-30,US900123AW05,112.6256,112.8753,113.125
2020-01-30,US900123AY60,110.625,110.994,111.363
2020-01-30,US900123BB58,114.6252,114.9409,115.2566
2020-01-30,US900123BG46,108.645,108.9976,109.3502
2020-01-30,US900123BJ84,100.625,100.9564,101.2878
2020-01-30,US900123BY51,103.665,103.8557,104.0464
2020-01-30,US900123BZ27,106.745,106.925,107.105
2020-01-30,US900123CA66,98.877,99.0635,99.25
2020-01-30,US900123CB40,88.88,89.136,89.392
2020-01-30,US900123CF53,105.875,106.0771,106.2792
2020-01-30,US900123CG37,106.7992,107.097,107.3948
2020-01-30,US900123CJ75,97.3882,97.6316,97.875
2020-01-30,US900123CK49,100,100.25,100.5
2020-01-30,US900123CL22,105.625,105.875,106.125
2020-01-30,US900123CM05,96.153,96.4615,96.77
2020-01-30,US900123CP36,100,100.25,100.5
2020-01-30,US900123CQ19,106,106.2095,106.419
2020-01-30,US900123CR91,111.21,111.3735,111.537
2020-01-30,US900123CT57,115.879,116.093,116.307
2020-01-30,US900123CV04,108,108.2175,108.435
2020-01-30,US900123CW86,105.125,105.3125,105.5
2020-01-30,US91086QAG38,154.5,154.784744,155.0695
2020-01-30,US91086QAS75,141.75,142.034744,142.3195
2020-01-30,US91086QAV05,134.001,134.3445,134.688
2020-01-30,US91086QAZ19,123.501,123.8445,124.188
2020-01-30,US91086QBA58,103.851,104.001,104.151
2020-01-30,US91086QBB32,114.75,115.0935,115.437
2020-01-30,US91086QBC15,106.472,106.5995,106.727
2020-01-30,US91086QBE70,127.501,127.8445,128.188
2020-01-30,US91086QBF46,112.751,113.0945,113.438
2020-01-30,US91086QBG29,109.001,109.226,109.451
2020-01-30,US91087BAA89,106.035,106.235,106.435
2020-01-30,US91087BAB62,109.4,109.7435,110.087
2020-01-30,US91087BAC46,108.801,108.951,109.101
2020-01-30,US91087BAD29,113.75,114.0935,114.437
2020-01-30,US91087BAE02,105.801,105.976,106.151
2020-01-30,US91087BAF76,111.901,112.051,112.201
2020-01-30,US91087BAG59,111.75,111.95,112.15
2020-01-30,US91087BAH33,101.75,101.825,101.9
2020-01-30,US917288BK78,114.301,114.526,114.751
2020-01-30,US922646AS37,11.75,12.25,12.75
2020-01-30,USG13201AA91,107.626,107.910751,108.1955
2020-01-30,USG8189YAB05,103.847168,103.938164,104.029167
2020-01-30,USG8189YAC87,126.661942,127.211945,127.76194
2020-01-30,USG82003AE76,108.632378,108.739883,108.847382
2020-01-30,USG8200QAB26,107.442459,107.66996,107.897461
2020-01-30,USG82016AL31,102.60434,102.689346,102.774345
2020-01-30,USG8201JAC56,104.668594,104.794632,104.920837
2020-01-30,USG8201NAA03,101.771996,101.85849,101.944992
2020-01-30,USG8201NAC68,106.752251,107.057564,107.363876
2020-01-30,USG8201NAG72,100.830971,101.003975,101.176971
2020-01-30,USG8449VAB20,103.304619,103.38562,103.46669
2020-01-30,USG8449WAC85,107.672218,107.777855,107.883621
2020-01-30,USG8450LAG98,101.40007,101.455307,101.510582
2020-01-30,USG8450LAJ38,106.747139,106.918633,107.090446
2020-01-30,USG8850LAC49,104.171,104.45575,104.7405
2020-01-30,USP01012AN67,115.75,116.0935,116.437
2020-01-30,USP01012CA29,109.063,109.4065,109.75
2020-01-30,USP14486AJ63,111.001,111.2925,111.584
2020-01-30,USP14517AA73,107.251,107.5425,107.834
2020-01-30,USP17625AC16,11.75,12.25,12.75
2020-01-30,USP29595AB42,107.876,108.160751,108.4455
2020-01-30,USP30179AM09,108.501,108.7925,109.084
2020-01-30,USP3143NAW40,110.05,110.2427,110.435783
2020-01-30,USP3143NAY06,106.2568,106.426414,106.596352
2020-01-30,USP3143NAZ70,113.374,113.837181,114.30294
2020-01-30,USP3143NBB93,111.58,112.147964,112.7199
2020-01-30,USP3143NBE33,100.861031,101.0669,101.273254
